               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12908,             0.18293,                   0,           0.0033333,           0.0013038,           0.0017465,           0.0003493,             0.12541,             0.17054,                   0,              0.0955,              0.0005,              0.0005
                   1,              0.1281,             0.18183,                   0,           0.0033333,           0.0026076,           0.0017356,           0.0004338,             0.12386,             0.16919,                   0,            0.090078,           0.0010782,           0.0010782
                   2,              0.1263,              0.1875,                   0,           0.0066667,           0.0052151,           0.0034082,          0.00068244,             0.12194,             0.16715,                   0,            0.084633,           0.0016327,           0.0016327
                   3,             0.12521,             0.20788,                   0,                0.01,           0.0039113,           0.0052636,           0.0013972,             0.12044,             0.16514,                   0,            0.079163,           0.0021634,           0.0021634
                   4,             0.12459,             0.19968,                   0,            0.026932,           0.0026076,           0.0074847,           0.0010806,             0.11912,             0.16416,                   0,             0.07367,           0.0026703,           0.0026703
                   5,             0.12199,             0.18439,                   0,               0.015,            0.011734,            0.012583,             0.00331,             0.11806,             0.15525,                   0,            0.068154,           0.0031535,           0.0031535
                   6,             0.12012,             0.18705,                   0,            0.013333,             0.01043,           0.0070079,           0.0020602,             0.11649,             0.14354,                   0,            0.062613,           0.0036129,           0.0036129
                   7,             0.11789,             0.17996,                   0,                0.02,           0.0078227,            0.010747,            0.003535,             0.11513,             0.14081,                   0,            0.057049,           0.0040486,           0.0040486
                   8,             0.11567,              0.1759,                   0,            0.021667,            0.016949,              0.0113,           0.0032571,             0.11334,             0.14187,                   0,             0.05146,           0.0044605,           0.0044605
                   9,              0.1131,             0.16956,                   0,            0.042949,             0.02086,             0.01579,           0.0055448,             0.11222,             0.13926,                   0,            0.045849,           0.0048486,           0.0048486
                  10,             0.11239,             0.16251,                   0,            0.023333,            0.018253,            0.012555,           0.0032561,             0.12233,             0.15572,                   0,            0.040213,            0.005213,            0.005213
                  11,               0.118,             0.17231,                   0,             0.03405,            0.019557,             0.01554,           0.0045955,             0.11529,             0.15053,                   0,            0.034554,           0.0055536,           0.0055536
                  12,             0.11096,              0.1703,                   0,            0.059663,            0.049544,             0.03419,           0.0095933,             0.11491,             0.15727,                   0,             0.02887,           0.0058705,           0.0058705
                  13,              0.1097,             0.17023,                   0,            0.068685,            0.056063,            0.035174,           0.0088887,             0.11387,             0.17572,                   0,            0.023164,           0.0061636,           0.0061636
                  14,             0.11214,             0.16295,                   0,            0.056181,            0.024772,             0.02442,            0.006639,             0.11387,             0.17572,                   0,            0.017433,           0.0064329,           0.0064329
                  15,             0.10954,             0.19007,                   0,            0.061943,            0.035202,            0.029428,           0.0085581,             0.11295,             0.18808,                   0,            0.011678,           0.0066785,           0.0066785
                  16,             0.10724,             0.18175,                   0,            0.073333,            0.057366,            0.048592,            0.013314,             0.10701,             0.19066,                   0,            0.006832,            0.006832,            0.006832
                  17,             0.10403,             0.19353,                   0,            0.053532,            0.082138,            0.032089,           0.0079897,             0.10896,             0.31377,                   0,            0.006832,            0.006832,            0.006832
                  18,             0.10282,              0.2017,                   0,             0.05246,            0.059974,            0.028321,            0.007063,             0.10896,             0.31377,                   0,            0.006634,            0.006634,            0.006634
                  19,             0.10071,              0.1904,                   0,            0.059706,            0.065189,            0.032746,           0.0093647,              0.1053,             0.23308,                   0,            0.006436,            0.006436,            0.006436
                  20,             0.09679,             0.21401,                   0,             0.10735,            0.080834,            0.057539,            0.016484,            0.098341,             0.21311,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.094034,             0.20097,                   0,             0.10574,             0.11343,            0.068668,            0.020515,             0.09166,             0.20209,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.089707,             0.21727,                   0,             0.10574,             0.11343,            0.068668,            0.020515,             0.09166,             0.20209,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.088628,             0.20684,                   0,             0.13023,             0.10821,            0.074788,            0.023396,            0.093315,             0.21422,                   0,            0.005644,            0.005644,            0.005644
